# x_m,y_m,w_tr_right_m,w_tr_left_m
5.1975,7.6050,0.1650,0.1650
5.2088,7.6050,0.1650,0.1650
5.2200,7.6050,0.1650,0.1650
5.2313,7.6050,0.1650,0.1650
5.2425,7.6050,0.1650,0.1650
5.2538,7.6050,0.1650,0.1650
5.2650,7.6050,0.1650,0.1650
5.2763,7.6050,0.1650,0.1650
5.2875,7.6050,0.1650,0.1650
5.2988,7.5938,0.1684,0.1684
5.3100,7.5938,0.1687,0.1687
5.3213,7.5938,0.1685,0.1685
5.3325,7.5938,0.1672,0.1672
5.3438,7.5825,0.1685,0.1685
5.3550,7.5825,0.1685,0.1685
5.3662,7.5825,0.1674,0.1674
5.3775,7.5825,0.1664,0.1664
5.3887,7.5825,0.1656,0.1656
5.4000,7.5713,0.1684,0.1684
5.4112,7.5713,0.1677,0.1677
5.4225,7.5600,0.1687,0.1687
5.4337,7.5600,0.1687,0.1687
5.4450,7.5600,0.1687,0.1687
5.4562,7.5600,0.1687,0.1687
5.4675,7.5600,0.1687,0.1687
5.4787,7.5600,0.1687,0.1687
5.4900,7.5600,0.1687,0.1687
5.5012,7.5600,0.1687,0.1687
5.5125,7.5600,0.1687,0.1687
5.5237,7.5600,0.1687,0.1687
5.5350,7.5600,0.1687,0.1687
5.5462,7.5600,0.1687,0.1687
5.5575,7.5600,0.1687,0.1687
5.5687,7.5600,0.1687,0.1687
5.5800,7.5600,0.1687,0.1687
5.5912,7.5600,0.1687,0.1687
5.6025,7.5600,0.1687,0.1687
